ptn1	ptn2	ptn1_constrained_probability	ptn1_unconstrained_probability	ptn1_support	ptn2_constrained_probability	ptn2_unconstrained_probability	ptn2_support	vi_entropy_ptn1	vi_entropy_ptn2	vi_mi	vi_joint_entropy	vi_distance	vi_normalized_kraskov
1	1	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	3.1387393983121683	3.1387393983121683	3.1387393983121674	3.138739398312169	1.7763568394002505e-15	5.551115123125783e-16
1	2	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.04408057517908157	9.958454246556368e-05	9.958454246556368e-05	3.1387393983121683	3.0363352630584997	3.0363352630584997	3.1387393983121683	0.10240413525366865	0.03262588009336986
1	3	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.029352417158148895	6.631145399254567e-05	6.631145399254567e-05	3.1387393983121683	2.9893680594595082	2.989368059459508	3.1387393983121687	0.14937133885266096	0.04758959566155263
1	4	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.02739901818839452	6.189843665179177e-05	6.189843665179177e-05	3.1387393983121683	2.8869639242058405	2.88696392420584	3.1387393983121687	0.2517754741063287	0.08021547575492216
1	5	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.0219864290573953	4.967059683856657e-05	4.967059683856657e-05	3.1387393983121683	3.286146704942567	3.1387393983121674	3.286146704942568	0.14740730663040047	0.044857189853602986
1	6	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.0205245546169348	4.636800614631885e-05	4.636800614631885e-05	3.1387393983121683	3.1837425696888983	3.0363352630584997	3.286146704942567	0.24981144188406734	0.07601956464948312
1	7	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.017013349081295606	3.843567324574646e-05	3.843567324574646e-05	3.1387393983121683	3.172637703396914	3.1387393983121674	3.172637703396915	0.03389830508474745	0.010684581176241048
1	8	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.01566842153188951	3.5397282886436986e-05	3.5397282886436986e-05	3.1387393983121683	3.0564554496295693	3.056455449629569	3.1387393983121683	0.08228394868259947	0.02621560385893995
1	9	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.014625532461144043	3.304124214670978e-05	3.304124214670978e-05	3.1387393983121683	2.9540513143759015	2.9540513143759006	3.1387393983121687	0.18468808393626812	0.058841483952309814
1	10	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.013666420319821307	3.087446588803434e-05	3.087446588803434e-05	3.1387393983121683	3.136775366089907	2.989368059459508	3.2861467049425674	0.29677864548305966	0.09031204998750852
1	11	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.012757468974834698	2.882101029118212e-05	2.882101029118212e-05	3.1387393983121683	3.034371230836239	2.88696392420584	3.2861467049425674	0.3991827807367274	0.12147442478338899
1	12	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.01223235539303369	2.763470100248385e-05	2.763470100248385e-05	3.1387393983121683	3.0564554496295697	3.056455449629569	3.138739398312169	0.08228394868260036	0.026215603858940284
1	13	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.011417990390688542	2.5794929950744165e-05	2.5794929950744165e-05	3.1387393983121683	2.954051314375901	2.9540513143759006	3.1387393983121687	0.18468808393626812	0.058841483952309814
1	14	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.010575177742544444	2.3890891457402325e-05	2.3890891457402325e-05	3.1387393983121683	3.023266364544254	2.989368059459508	3.1726377033969144	0.18326964393740663	0.057765701939802794
1	15	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.00792586721445695	1.7905706923921133e-05	1.7905706923921133e-05	3.1387393983121683	3.1854324068234128	3.1387393983121674	3.1854324068234137	0.04669300851124625	0.014658295185051351
1	16	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.007921288195333054	1.7895362242107394e-05	1.7895362242107394e-05	3.1387393983121683	3.3200450100273127	3.1387393983121674	3.3200450100273136	0.18130561171514614	0.054609383658221766
1	17	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.00739856357289667	1.6714449966137033e-05	1.6714449966137033e-05	3.1387393983121683	3.083028271569745	3.0363352630584997	3.1854324068234137	0.149097143764914	0.046805935497340245
1	18	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.007295208792848453	1.648095622335087e-05	1.648095622335087e-05	3.1387393983121683	3.203862756259968	3.056455449629569	3.286146704942567	0.22969125531299817	0.06989683539311509
1	19	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.006848047603523459	1.547075292481454e-05	1.547075292481454e-05	3.1387393983121683	3.10653372831403	3.072635423229284	3.1726377033969144	0.10000228016763035	0.031520233167675826
1	20	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.006848047603523459	1.547075292481454e-05	1.547075292481454e-05	3.1387393983121683	3.10653372831403	3.072635423229284	3.1726377033969144	0.10000228016763035	0.031520233167675826
1	21	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.006829515505349673	1.542888617262118e-05	1.542888617262118e-05	3.1387393983121683	3.2404343135664053	3.138739398312168	3.2404343135664058	0.1016949152542379	0.031383112698344706
1	22	0.04722227404793002	0.0001066821051254838	0.0001066821051254838	0.0068099315617025915	1.5384643145849346e-05	1.5384643145849346e-05	3.1387393983121683	3.1014586210063	2.9540513143759006	3.2861467049425674	0.3320953905666668	0.10105921018899577
