	ptn1	ptn2	ptn1_n_elements	ptn1_n_subsets	ptn1_vi_entropy	ptn1_constrained_probability	ptn1_unconstrained_probability	ptn1_support	ptn2_n_elements	ptn2_n_subsets	ptn2_vi_entropy	ptn2_constrained_probability	ptn2_unconstrained_probability	ptn2_support	vi_distance	vi_normalized_kraskov
0	1	1	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	1.7763568394002505e-15	5.551115123125784e-16
1	1	2	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	3.0363352630585	0.0440805751790815	9.958454246556368e-05	9.958454246556368e-05	0.1024041352536686	0.0326258800933698
2	1	3	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	2.989368059459508	0.0293524171581488	6.631145399254567e-05	6.631145399254567e-05	0.1493713388526609	0.0475895956615526
3	1	4	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	9	2.8869639242058405	0.0273990181883945	6.189843665179177e-05	6.189843665179177e-05	0.2517754741063287	0.0802154757549221
4	1	5	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.286146704942567	0.0219864290573953	4.967059683856657e-05	4.967059683856657e-05	0.1474073066304004	0.0448571898536029
5	1	6	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.1837425696888983	0.0205245546169348	4.636800614631885e-05	4.636800614631885e-05	0.2498114418840673	0.0760195646494831
6	1	7	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.172637703396914	0.0170133490812956	3.843567324574646e-05	3.843567324574646e-05	0.0338983050847474	0.010684581176241
7	1	8	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	3.0564554496295693	0.0156684215318895	3.5397282886436986e-05	3.5397282886436986e-05	0.0822839486825994	0.0262156038589399
8	1	9	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	9	2.954051314375901	0.014625532461144	3.304124214670978e-05	3.304124214670978e-05	0.1846880839362681	0.0588414839523098
9	1	10	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.136775366089907	0.0136664203198213	3.087446588803434e-05	3.087446588803434e-05	0.2967786454830596	0.0903120499875085
10	1	11	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	3.034371230836239	0.0127574689748346	2.882101029118212e-05	2.882101029118212e-05	0.3991827807367274	0.1214744247833889
11	1	12	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	3.0564554496295697	0.0122323553930336	2.763470100248385e-05	2.763470100248385e-05	0.0822839486826003	0.0262156038589402
12	1	13	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	9	2.954051314375901	0.0114179903906885	2.5794929950744165e-05	2.5794929950744165e-05	0.1846880839362681	0.0588414839523098
13	1	14	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.023266364544254	0.0105751777425444	2.3890891457402325e-05	2.3890891457402325e-05	0.1832696439374066	0.0577657019398027
14	1	15	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.1854324068234128	0.0079258672144569	1.7905706923921133e-05	1.7905706923921133e-05	0.0466930085112462	0.0146582951850513
15	1	16	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	13	3.3200450100273127	0.007921288195333	1.7895362242107394e-05	1.7895362242107394e-05	0.1813056117151461	0.0546093836582217
16	1	17	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.083028271569745	0.0073985635728966	1.6714449966137033e-05	1.6714449966137033e-05	0.149097143764914	0.0468059354973402
17	1	18	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.203862756259968	0.0072952087928484	1.648095622335087e-05	1.648095622335087e-05	0.2296912553129981	0.069896835393115
18	1	19	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.10653372831403	0.0068480476035234	1.547075292481454e-05	1.547075292481454e-05	0.1000022801676303	0.0315202331676758
19	1	20	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.10653372831403	0.0068480476035234	1.547075292481454e-05	1.547075292481454e-05	0.1000022801676303	0.0315202331676758
20	1	21	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.2404343135664053	0.0068295155053496	1.542888617262118e-05	1.542888617262118e-05	0.1016949152542379	0.0313831126983447
21	1	22	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	3.1014586210063	0.0068099315617025	1.5384643145849346e-05	1.5384643145849346e-05	0.3320953905666668	0.1010592101889957
22	1	23	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.26815417836979	0.0063943503392393	1.4445783665723471e-05	1.4445783665723471e-05	0.1294147800576235	0.0395987376954711
23	1	24	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	0.2040990505079065	0.0629850911198617
24	1	25	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	0.2318189153112912	0.0709326741209395
25	1	26	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.2038627562599684	0.0056954084340244	1.2866770470953203e-05	1.2866770470953203e-05	0.229691255312999	0.0698968353931153
26	1	27	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.090353754714315	0.0056450722320139	1.275305354175459e-05	1.275305354175459e-05	0.1161822537673451	0.0366200822876655
27	1	28	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	3.028735584826184	0.0053371378082808	1.205738410975923e-05	1.205738410975923e-05	0.110003813485985	0.0350471318342449
28	1	29	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	3.1014586210063	0.0053164653433741	1.2010681952380318e-05	1.2010681952380318e-05	0.3320953905666668	0.1010592101889957
29	1	30	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.1706736711746526	0.0049237589650844	1.112350013030996e-05	1.112350013030996e-05	0.3306769505678053	0.0996001408321524
30	1	31	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.0903537547143154	0.0044071213323679	9.956339264882424e-06	9.956339264882424e-06	0.116182253767346	0.0366200822876657
31	1	32	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	2.95716238946137	0.0042565184342914	9.616105031594623e-06	9.616105031594623e-06	0.2493736190202895	0.0786013539312375
32	1	33	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	2.95716238946137	0.0042565184342914	9.616105031594623e-06	9.616105031594623e-06	0.2493736190202895	0.0786013539312375
33	1	34	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.091062974713745	0.0042450984873835	9.590305681582068e-06	9.590305681582068e-06	0.251066254106898	0.0774791987159818
34	1	35	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	11	3.118782839517131	0.0039746092101371	8.979230376711561e-06	8.979230376711561e-06	0.2787861189102836	0.0853038454413881
35	1	36	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	2.988658839460077	0.0039700138090352	8.968848685585262e-06	8.968848685585262e-06	0.3534703893605657	0.1090811771374985
36	1	37	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	10	3.016378704263462	0.0037101525807427	8.381783716062587e-06	8.381783716062587e-06	0.3811902541639504	0.1166377818668562
37	1	38	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	13	3.3328397134538124	0.0036902390951803	8.33679620533775e-06	8.33679620533775e-06	0.1941003151416458	0.0582387188793127
38	1	39	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.230435578200144	0.0034448777356402	7.78248858504777e-06	7.78248858504777e-06	0.2965044503953127	0.0889645095137341
39	1	40	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	9	2.879364245973524	0.0033169489180144	7.4934784548561855e-06	7.4934784548561855e-06	0.2593751523386451	0.0826367274957972
40	1	41	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.253941034944429	0.0031885502057737	7.203406763193593e-06	7.203406763193593e-06	0.247409586798029	0.0745199495942958
41	1	42	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.253941034944429	0.0031885502057737	7.203406763193593e-06	7.203406763193593e-06	0.247409586798029	0.0745199495942958
42	1	43	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	13	3.387841620196804	0.0031797711978457	7.183573685148156e-06	7.183573685148156e-06	0.2491022218846366	0.0735282961280126
43	1	44	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	13	3.4155614850001896	0.0029769199062584	6.725302599092682e-06	6.725302599092682e-06	0.2768220866880231	0.0810473147398216
44	1	45	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.2854374849431363	0.00297391628026	6.718516963479482e-06	6.718516963479482e-06	0.3515063571383052	0.10375525084844
45	1	46	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.212443051627368	0.0029092050684895	6.572324759988809e-06	6.572324759988809e-06	0.0737036533152011	0.0229431781764548
46	1	47	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	13	3.2193307119081584	0.0028555494322341	6.4511087376143816e-06	6.4511087376143816e-06	0.0805913135959919	0.0250335615716298
47	1	48	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	59	12	3.313157349746521	0.0027790260880871	6.27823117910119e-06	6.27823117910119e-06	0.37922622194169	0.1110289548606
